"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"miscrev11ccd","","","","","","","miscrev11ccd","miscrev11ccd","miscrev11ccd","miscrev11ccd","miscrev11ccd","miscrev11ccd"
"miscrevtot11b","","","","","","","miscrevtot11b","miscrevtot11b","miscrevtot11b","miscrevtot11b","miscrevtot11b","miscrevtot11b"
"miscrevtot11c","","","","","","","miscrevtot11c","miscrevtot11c","miscrevtot11c","miscrevtot11c","miscrevtot11c","miscrevtot11c"
"miscrevtot11d","","","","","","","miscrevtot11d","miscrevtot11d","miscrevtot11d","miscrevtot11d","miscrevtot11d","miscrevtot11d"
"miscrevtot11e","","","","","","","miscrevtot11e","miscrevtot11e","miscrevtot11e","miscrevtot11e","miscrevtot11e","miscrevtot11e"
"miscrevtota","","","","","","","miscrevtota","miscrevtota","miscrevtota","miscrevtota","miscrevtota","miscrevtota"
"netgnls","","","","","","","netgnls","netgnls","netgnls","netgnls","netgnls","netgnls"
"netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng","netincfndrsng"
"netincgaming","","","","","","","netincgaming","netincgaming","netincgaming","netincgaming","netincgaming","netincgaming"
"netincsales","","","","","","","netincsales","netincsales","netincsales","netincsales","netincsales","netincsales"
"netincunrelatd170","","netincunrelatd170","netincunrelatd170","","","netincunrelatd170","","","","","",""
"netincunrelatd509","netincunrelatd509","","","netincunrelatd509","netincunrelatd509","","netincunrelatd509","netincunrelatd509","netincunrelatd509","netincunrelatd509","netincunrelatd509","netincunrelatd509"
"netincunreltd170","netincunreltd170","","","netincunreltd170","netincunreltd170","","netincunreltd170","netincunreltd170","netincunreltd170","netincunreltd170","netincunreltd170","netincunreltd170"
"netincunreltd509","","netincunreltd509","netincunreltd509","","","netincunreltd509","","","","","",""
