"","ein","tax_pd","daysoperating_coh"
"511",133556135,201812,113.314717782622
"512",133570544,201812,242.517201766615
"513",133582492,201812,22122.9799044787
"514",133584089,201806,76.6798836567974
"515",133591350,201812,293.55120551733
"516",133620671,201812,82.9262726506891
"517",133627750,201812,86.2903794509454
"518",133635059,201806,90.186061037714
"519",133636555,201806,120.829237148395
"520",133652630,201806,100.879695984926
"521",133687891,201806,159.830774551782
"522",133687895,201806,123.394174769074
"523",133706959,201812,688.523910783801
"524",133735311,201812,0
"525",133773591,201812,27.2247328732545
"526",133778489,201806,405.015113914444
"527",133784406,201812,839.96208244321
"528",133846708,201812,206.076034894705
"529",133860487,201812,128.195549317255
"530",133914167,201812,NA
"531",133927797,201812,23.9729555698648
"532",133940622,201812,0.251284660555946
"533",133946529,201812,169.185036952602
"534",133970573,201812,713.01214953271
"535",133996271,201806,49.7851735661188
"536",133997769,201812,115.87005699428
"537",134011201,201812,158.234790027267
"538",134031037,201812,693.284373868347
"539",134087428,201812,1176.77570147728
"540",134103352,201812,832.180763208422
"541",134138205,201812,183.931745278794
"542",134169825,201806,954.460643194729
"543",134196931,201812,53.6765260378219
"544",134221502,201809,NA
"545",134233543,201812,2116.12704776388
"546",134236650,201906,18.1297581262997
"547",134284680,201812,111.817830653427
"548",135562202,201806,152.168766573271
"549",136202692,201806,85.8708726080082
"550",136222626,201806,308.311840076453
"551",136265613,201812,94.9411476667272
"552",136271908,201806,101.361762756757
"553",141491879,201811,38.0014731449173
"554",141492922,201812,40.0006960160808
"555",141493667,201802,84.8669766554527
"556",141503655,201804,67.7174898139947
"557",141503655,201904,59.0230544343111
"558",141504550,201906,85.3912226470295
"559",141548263,201806,44.1709483480284
"560",141558673,201812,19958.1155227454
"561",141589002,201812,117.767094017094
"562",141601549,201812,152.252335531032
"563",141604145,201805,141.89703921804
"564",141605957,201812,449.393280817865
"565",141611857,201812,37.042192609233
"566",141615406,201812,177.510834887093
"567",141626314,201803,108.55056163069
"568",141627038,201810,50.6750441019816
"569",141628657,201806,24.0331541993347
"570",141629449,201806,145.680573454658
"571",141633606,201901,226.499843897029
"572",141645491,201812,91.7644304909119
"573",141645494,201812,97.7074286342263
"574",141664058,201901,211.882015547971
"575",141664264,201806,144.923622714423
"576",141666190,201906,107.117704736326
"577",141705132,201812,18.1684506951352
"578",141708404,201906,21.8950480468238
"579",141715960,201812,134.387793315061
"580",141724406,201812,89.9913479433967
"581",141724900,201904,342.947146089129
"582",141758441,201906,202.993510403698
"583",141758686,201806,33.4006771898578
"584",141758686,201906,5.35421618916552
"585",141770461,201812,134.093200813728
"586",141815690,201806,71.5761358418137
"587",141819599,201806,58.0708617125686
"588",141828476,201812,169.186556270732
"589",141855665,201812,63.1968386048171
"590",141869951,201806,91.7527345893543
"591",141884382,201812,163.779948552636
"592",141891112,201812,347.89679721471
"593",141891112,201712,283.195608573808
"594",141959607,201812,145.566924826042
"595",141959607,201712,211.965769687376
"596",141973678,201812,1639.12717748323
"597",141977260,201812,79.7980687196709
"598",141983932,201806,152.673167492591
"599",141987692,201809,235.65922459893
"600",141990608,201812,146.160946054705
"601",160743940,201903,60.217131774035
"602",160863402,201803,51.2325628601021
"603",160902835,201809,42.8442137058727
"604",160903802,201812,66.4951288640285
"605",160905222,201810,46.9320439597086
"606",160907793,201812,162.067906456731
"607",160909190,201812,65.9038019559968
"608",160909583,201812,135.279457384551
"609",160911473,201802,53.4658360722623
"610",160950820,201906,38.1766299335621
"611",160963924,201806,NA
"612",160984913,201809,96.2634934377613
"613",160999976,201904,347.612634138669
"614",161002392,201809,353.086709101602
"615",161004653,201812,98.8285959249727
"616",161006727,201812,387.447872828044
"617",161063363,201812,643.132349242685
"618",161065303,201808,955.786010801225
"619",161067572,201712,97.2418444814102
"620",161067572,201812,138.456791871888
"621",161072548,201812,127.435145964591
"622",161079046,201812,156.47124896094
"623",161080227,201812,121.98508566583
"624",161086304,201812,247.334989228831
"625",161092291,201808,87.829621432513
"626",161094813,201809,82.4037924538137
"627",161109094,201906,185.11958991042
"628",161116852,201906,247.032767075307
"629",161119263,201812,77.3783142235708
"630",161125586,201811,130.174123217374
"631",161130177,201806,49.8644869302419
"632",161132971,201808,434.82397822722
"633",161137874,201906,462.206006203903
"634",161139614,201812,232.320636259663
"635",161159574,201906,152.26619826203
"636",161159720,201812,100.808491275524
"637",161160170,201809,84.0542684800487
"638",161160170,201909,76.0710570573081
"639",161163460,201812,1076.55572400855
"640",161164184,201806,136.149609843109
"641",161165911,201812,431.651612475263
"642",161166659,201808,178.810182680029
"643",161167946,201812,915.866911117164
"644",161169252,201808,265.989531131896
"645",161170113,201806,141.197585497102
"646",161170113,201906,116.015061215465
"647",161183242,201809,224.602830795274
"648",161190886,201806,37.3449607162708
"649",161199332,201906,38.5796093250091
"650",161199332,201806,12.5451779219706
"651",161265765,201809,576.731501624037
"652",161271229,201812,158.403731836196
"653",161277244,201812,299.382665505226
"654",161289461,201809,77.5888994639555
"655",161301678,201903,192.89611904482
"656",161321037,201803,990.104696182281
"657",161328750,201809,127.098785702708
"658",161329890,201906,0
"659",161330593,201812,66.7842327640491
"660",161337423,201806,5.88221036869099
"661",161337423,201906,5.80178400273136
"662",161370403,201906,939.494995263006
"663",161375112,201906,182.755249376502
"664",161375112,201806,171.552356884369
"665",161375637,201812,167.03925130823
"666",161387187,201906,119.360789821547
"667",161399793,201812,1886.57979889683
"668",161408996,201812,2223.16619170672
"669",161429861,201812,79.5166373663765
"670",161450203,201812,116.951245879529
"671",161452557,201903,21.1629662626812
"672",161453947,201812,128.864678677635
"673",161481094,201805,66.2141532771688
"674",161481094,201905,213.491309510958
"675",161481094,201705,13.0651695162207
"676",161509425,201812,0
"677",161559032,201806,189.364631812699
"678",161561999,201812,365.377043495564
"679",161568466,201812,967.83376814882
"680",161572206,201812,142.606923442473
"681",161585356,201812,419.444648737192
"682",161605654,201812,191.979344428267
"683",161607165,201903,452.799531061978
"684",161617489,201812,1.0262247443497
"685",161637410,201812,14591.2114371708
"686",161660243,201903,6.78957220294037
"687",161671788,201906,60.9113470960249
"688",161744136,201809,141.814601727738
"689",161765276,201812,3678.06444444444
"690",166063879,201902,81.1342185588545
"691",166063879,201802,96.4527676842926
"692",166066346,201903,47.9072253691633
"693",166066837,201812,174.803147063718
"694",166095039,201901,31.3871268354913
"695",166101149,201906,210.241266297492
"696",200001916,201812,313.688647537057
"697",200062075,201806,160.672370257872
"698",200070040,201812,63.1446230675565
"699",200125143,201812,39.9553560617854
"700",200146547,201806,556.300455880269
"701",200164382,201812,154.129702035864
"702",200177581,201806,250.585660691955
"703",200203845,201812,19.5176281738153
"704",200246423,201812,253.907576869505
"705",200310400,201806,223.80136420463
"706",200318338,201812,17.7138545554318
"707",200330858,201812,678.76850390978
"708",200428240,201812,117.766715233932
"709",200436490,201809,161.245158353195
"710",200446324,201812,445.680197680467
"711",200458814,201812,211.028930041661
"712",200468802,201812,14733.2364838834
"713",200470082,201812,5231.1777382905
"714",200503404,201812,76.6356093312481
"715",200530683,201812,70.884455879099
"716",200553370,201812,1149.70309496228
"717",200573561,201812,1.36510573062942
"718",200688727,201812,974.284590779345
"719",200696964,201806,109.533811637653
"720",200701353,201806,478.104813810744
"721",200726638,201806,307.684619478087
"722",200951085,201809,23636.9360902256
"723",200956663,201812,32.0850217662472
"724",201044089,201806,131.22447421463
"725",201110283,201806,0
"726",201150352,201712,12.55232886757
"727",201150352,201812,33.9644973174714
"728",201249814,201812,46.6842748246494
"729",201309418,201809,229.89910666593
"730",201309418,201609,1790.95499486916
"731",201324945,201712,68.0444978152138
"732",201413891,201812,182.851618110741
"733",201484525,201903,7.44248796129739
"734",201545635,201812,168.762476636414
"735",201583332,201812,4.2395972284635
"736",201592192,201812,1445.11198578299
"737",201594213,201806,1373.72343822463
"738",201683627,201806,NA
"739",201688621,201806,611.423398508388
