"","ein","tax_pd","lb_to_assets"
"387",112538550,201808,0.146446371708997
"388",112573432,201806,0.0113926537026125
"389",112578155,201807,0.908816813951652
"390",112594653,201806,0.195743009863998
"391",112600290,201812,0.529353157234918
"392",112600290,201712,0.590510592924898
"393",112603787,201812,0.52281401665205
"394",112627786,201812,0.848664434027761
"395",112647339,201812,0.907525073375119
"396",112665181,201806,0.143889108203717
"397",112683663,201806,0.00765393279731742
"398",112689903,201812,0.16768541661511
"399",112710506,201812,0
"400",112737223,201812,0.0105444242642284
"401",112783877,201812,0.563610031998278
"402",112840553,201806,0.0921406950191062
"403",112848726,201809,0.40342053414687
"404",112848938,201806,0
"405",112857055,201806,0.0243615758191791
"406",112889068,201812,0.0119511454473855
"407",112890302,201812,0.0159891113475499
"408",112911043,201812,0
"409",113039699,201805,0.872777315058079
"410",113048002,201812,0.198105105314774
"411",113099604,201812,0.0948476834176697
"412",113132562,201812,0.280791733176732
"413",113199716,201812,0.998778681628071
"414",113204890,201812,0.0563907259562041
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,0
"418",113306111,201806,0.00105685641745337
"419",113312539,201812,0.701809095808613
"420",113317234,201812,0.0143080142408443
"421",113317929,201806,0
"422",113415840,201812,0
"423",113422018,201812,0.26621523181961
"424",113442366,201812,0
"425",113458791,201806,NA
"426",113462888,201906,0.282072540225364
"427",113580935,201812,0.0269777661745766
"428",113603198,201812,0.0191703171899083
"429",113613094,201812,0
"430",113633048,201812,0.601803745264933
"431",113666873,201812,0.9678125808197
"432",113687996,201809,0
"433",113704014,201906,0.917397283781013
"434",113754129,201812,0.0966526131473881
"435",116083182,201806,0.473214447060107
"436",123799161,201906,0.233048221147886
"437",123799161,201706,0.184345052100357
"438",131562242,201806,0.212330416253593
"439",131624178,201806,0.048309218726487
"440",131671035,201806,0.00185781595246631
"441",131919799,201806,0.107142268246807
"442",131943516,201806,0
"443",132564241,201812,0.00844807777061642
"444",132579051,201807,0.639370300045427
"445",132617705,201812,0.0753261456235272
"446",132735378,201812,0.000733140952280129
"447",132736022,201803,0.216148274378244
"448",132778910,201812,0.0516588564624495
"449",132802083,201906,0.815279573311948
"450",132806160,201806,0.0347164029155732
"451",132834016,201812,0.46071413965282
"452",132850133,201806,0.074053533920391
"453",132851988,201812,0.446085248751738
"454",132868189,201809,0.699932559760174
"455",132875743,201812,0.00390560652562244
"456",132902798,201806,0.00558831797687587
"457",132922191,201812,0.128906194033364
"458",132926433,201806,0.538415130166107
"459",132934000,201812,0.0169404754921052
"460",132936066,201809,NA
"461",132938457,201806,0.84163491747295
"462",132944013,201804,0.0597456168991161
"463",132950346,201812,0
"464",132972415,201806,0.0479796410057086
"465",132976987,201812,0.149021236613326
"466",133008492,201906,NA
"467",133010578,201812,0.00251834884144273
"468",133020589,201806,0.0405140087256557
"469",133022372,201812,0.354840881849892
"470",133023179,201812,0.0144269616349772
"471",133023183,201806,0.107611526921428
"472",133026182,201812,0
"473",133028376,201812,0.56550531911249
"474",133032463,201812,0.528817940929361
"475",133076810,201812,0.697725001894542
"476",133097905,201806,0.113019746347728
"477",133098397,201812,0.114816637996438
"478",133108035,201812,0.247185421183921
"479",133110811,201812,0
"480",133154100,201812,8.27788472692665e-05
"481",133160099,201806,0.0793488074636972
"482",133176586,201806,0.00141656090069249
"483",133176952,201806,0.0749352787629299
"484",133183344,201806,0.33020072817943
"485",133187792,201812,0.556773445829226
"486",133202014,201812,0.0702109186506306
"487",133203701,201806,0.0513789713339543
"488",133206603,201812,0.000464755006569288
"489",133212867,201812,0.0343282651239988
"490",133213525,201803,0.0450808201312893
"491",133234441,201806,0.090925004511819
"492",133248777,201812,0.011981895390927
"493",133257307,201806,0.659054153419813
"494",133281487,201806,0.149279192441676
"495",133313856,201812,0
"496",133402057,201706,0.000133582051888567
"497",133402057,201506,0.000133583245508898
"498",133402057,201306,0.000133483480936899
"499",133402057,201206,0.000130194902425376
"500",133402057,201606,0.00159001179296539
"501",133420753,201806,0.665994675163621
"502",133421324,201812,0.00982264519382423
"503",133439109,201807,0
"504",133439109,201907,0
"505",133463392,201806,0
"506",133505123,201812,0.238526136151199
"507",133514340,201812,NA
"508",133516262,201806,0
"509",133518596,201812,0
"510",133544227,201906,0.000775979713019782
"511",133556135,201812,0.824377060332117
"512",133570544,201812,0.162600810505393
"513",133582492,201812,0
"514",133584089,201806,0.0690320673790697
"515",133591350,201812,0
"516",133620671,201812,0.776552569184496
"517",133627750,201812,0.681148758717731
"518",133635059,201806,0.00634478771421483
"519",133636555,201806,0.506461780265507
"520",133652630,201806,0.82671459104159
"521",133687891,201806,0.214932630531582
"522",133687895,201806,0.987518945678592
"523",133706959,201812,0.0293134786723088
"524",133735311,201812,0.0447290358951229
"525",133773591,201812,0.832343542749809
"526",133778489,201806,0.0127246675885475
"527",133784406,201812,0.324577246262805
"528",133846708,201812,0.0126215297648232
"529",133860487,201812,0.286706187448745
"530",133914167,201812,0
"531",133927797,201812,0.995394426324579
"532",133940622,201812,0.879222494810342
"533",133946529,201812,0.0559791115549388
"534",133970573,201812,0
"535",133996271,201806,0.00151970814917377
"536",133997769,201812,0.201558770045873
"537",134011201,201812,0.00279527731365032
"538",134031037,201812,0
"539",134087428,201812,0.0418330612343514
"540",134103352,201812,0.434013733740028
"541",134138205,201812,0
"542",134169825,201806,0.640522341836366
"543",134196931,201812,0.880206425724245
"544",134221502,201809,NA
"545",134233543,201812,0.93293055200713
"546",134236650,201906,0.884826181969095
"547",134284680,201812,0.959387329555393
"548",135562202,201806,0.134456699720336
"549",136202692,201806,0.00541863698754302
"550",136222626,201806,0.00135793766724488
"551",136265613,201812,0.897686360684857
"552",136271908,201806,0.421284567424488
"553",141491879,201811,0.861031512086843
"554",141492922,201812,0.567893044817907
"555",141493667,201802,0.491473741538721
"556",141503655,201804,0.680207767028447
"557",141503655,201904,0.513583981260793
"558",141504550,201906,0.296660242454753
"559",141548263,201806,0.405899185443212
"560",141558673,201812,0
"561",141589002,201812,0.960884307713721
"562",141601549,201812,0.00128553988388561
"563",141604145,201805,0.286234098691106
"564",141605957,201812,0.0115004483049925
"565",141611857,201812,0.634643540512841
"566",141615406,201812,0.337297231855407
"567",141626314,201803,0.299895024144447
"568",141627038,201810,0.194322634680386
"569",141628657,201806,0.871938702618974
"570",141629449,201806,0.281539935971942
"571",141633606,201901,0.440045561164145
"572",141645491,201812,0.331579505696222
"573",141645494,201812,0.651100552781443
"574",141664058,201901,0.0377710560292715
"575",141664264,201806,0.56027577184629
"576",141666190,201906,0.565092330733183
"577",141705132,201812,0.339975271386462
"578",141708404,201906,0.12599963228673
"579",141715960,201812,0.778605726126198
"580",141724406,201812,0.803696205323733
"581",141724900,201904,0.00704686869329846
"582",141758441,201906,0.53439937283513
"583",141758686,201806,0.0578217821782178
"584",141758686,201906,0
"585",141770461,201812,0.499443290549901
"586",141815690,201806,0.283505328399488
"587",141819599,201806,0.794386424377536
"588",141828476,201812,0.289518975465358
"589",141855665,201812,0.811600667243222
"590",141869951,201806,0.0881607921119864
"591",141884382,201812,0.957971260252214
"592",141891112,201812,0
"593",141891112,201712,0.0917170773778119
"594",141959607,201812,0.798818889998081
"595",141959607,201712,0.762077603816614
"596",141973678,201812,0.0033167279953745
"597",141977260,201812,0.871566776217414
"598",141983932,201806,0.928375611653666
"599",141987692,201809,0.915252935237368
"600",141990608,201812,0.957979359909789
"601",160743940,201903,0.13895835710726
"602",160863402,201803,0.764932966435222
"603",160902835,201809,0.231812267878828
"604",160903802,201812,0.920080557666127
"605",160905222,201810,0.467252428535506
"606",160907793,201812,0.542381306242815
"607",160909190,201812,0.34075458772235
"608",160909583,201812,0.0416963835301894
"609",160911473,201802,0.126093685058534
"610",160950820,201906,0.367945283705126
"611",160963924,201806,NA
"612",160984913,201809,0.0900108447266021
"613",160999976,201904,0.00720282428157132
"614",161002392,201809,0.776789538027407
"615",161004653,201812,0.26927649690547
"616",161006727,201812,0.295813978039901
"617",161063363,201812,0.0290629477220329
"618",161065303,201808,0.000309445364690464
"619",161067572,201712,0.801877359537536
"620",161067572,201812,0.709669856856555
"621",161072548,201812,0.397796300229487
"622",161079046,201812,0.692430720237539
"623",161080227,201812,0.140519259874213
"624",161086304,201812,0.685641879679191
