"","ein","tax_pd","months_coh"
"333",61276156,201806,387.828273502781
"334",61322214,201806,45.4432945466245
"335",61322214,201906,79.5664640536575
"336",61338915,201812,66.0629298486933
"337",61353568,201812,92.4543533761775
"338",61354643,201809,NA
"339",61356231,201806,54.7311996190606
"340",61414605,201806,245.088935015168
"341",61419774,201806,17.6434988811329
"342",61421651,201806,412.927405441274
"343",61421674,201812,135.792913656691
"344",61423446,201812,NA
"345",61423598,201806,1505.7526927484
"346",61428945,201812,8149.88007736944
"347",61428945,201812,8149.88007736944
"348",61440531,201906,76.5859786876052
"349",61466506,201812,NA
"350",61472525,201906,5.1338976812661
"351",61473638,201906,3.83708562311647
"352",61613212,201812,895.181144381856
"353",61618332,201812,67.4235704969075
"354",61637790,201809,448.299109079865
"355",61665031,201812,87.7929771436505
"356",61683983,201812,207.813922646881
"357",61714498,201809,26.1828941806397
"358",61781093,201812,NA
"359",61804372,201812,NA
"360",66066491,201806,11.8811340567028
"361",66071847,201810,3.38004215487509
"362",100131835,201806,151.636893770046
"363",111630919,201812,172.623793492743
"364",112137138,201806,40.026031078206
"365",112141197,201812,87.6296684576071
"366",112221341,201812,57.5889097071401
"367",112268359,201812,40.5409261340859
"368",112325394,201906,66.4586280056577
"369",112356150,201806,1034.37379043406
"370",112375583,201806,32.5470717117792
"371",112382250,201806,828.114532019704
"372",112412584,201712,216.022003555282
"373",112431586,201806,1005.95619197239
"374",112435523,201905,170.811826086957
"375",112436149,201806,188.849832884735
"376",112451752,201806,91.3685708327711
"377",112453853,201806,25.2640416900626
"378",112458675,201806,NA
"379",112475743,201806,24.6421903428575
"380",112490986,201806,4.02152595072949
"381",112498292,201806,NA
"382",112526244,201807,227.852865044549
"383",112527097,201906,14.1301604123513
"384",112527202,201905,13.5552200912615
"385",112528786,201812,1509.608
"386",112534700,201803,10.1033222424719
"387",112538550,201808,41.4178740881423
"388",112573432,201806,193.388129636861
"389",112578155,201807,22.217103302849
"390",112594653,201806,31.2736262273468
"391",112600290,201812,24.4385212282839
"392",112600290,201712,14.3984325292321
"393",112603787,201812,20.5786840951327
"394",112627786,201812,20.7723188682852
"395",112647339,201812,112.127918179797
"396",112665181,201806,18.7605463019993
"397",112683663,201806,37.3119637985435
"398",112689903,201812,2280.20338983051
"399",112710506,201812,444.485527633399
"400",112737223,201812,166.756817290203
"401",112783877,201812,57.9602525805526
"402",112840553,201806,171.370963356312
"403",112848726,201809,124.994367895176
"404",112848938,201806,NA
"405",112857055,201806,11.2837190649497
"406",112889068,201812,131.613243672082
"407",112890302,201812,50.4301434476294
"408",112911043,201812,421.527497900924
"409",113039699,201805,NA
"410",113048002,201812,93.66982830862
"411",113099604,201812,41.1318463591766
"412",113132562,201812,276.853379331974
"413",113199716,201812,NA
"414",113204890,201812,338.501084446932
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,124.336214415986
"418",113306111,201806,94.2769841528099
"419",113312539,201812,318.746046250088
"420",113317234,201812,182.060976885442
"421",113317929,201806,65.2750510149286
"422",113415840,201812,7.43965790307254
"423",113422018,201812,33.6101843821626
"424",113442366,201812,0
"425",113458791,201806,NA
"426",113462888,201906,12.2852561048763
"427",113580935,201812,123.033760047633
"428",113603198,201812,NA
"429",113613094,201812,428.275909090909
"430",113633048,201812,276.904771254663
"431",113666873,201812,9.42854872460467
"432",113687996,201809,8.53128642312431
"433",113704014,201906,0.50745604273314
"434",113754129,201812,94.889905545989
"435",116083182,201806,14.4928889381021
"436",123799161,201906,26.2048129281574
"437",123799161,201706,9.40797104636477
"438",131562242,201806,42.3606657799916
"439",131624178,201806,20.8549431452086
"440",131671035,201806,7.27863674082888
"441",131919799,201806,51.5479257551616
"442",131943516,201806,2.95231295986013
"443",132564241,201812,52.2962595126069
"444",132579051,201807,13.2881578407646
"445",132617705,201812,620.143009280389
"446",132735378,201812,4830.87033444887
"447",132736022,201803,39.8252479832107
"448",132778910,201812,51.3354582196957
"449",132802083,201906,0.891494933394057
"450",132806160,201806,47.2598907493572
"451",132834016,201812,33.1804314465126
"452",132850133,201806,128.177192528455
"453",132851988,201812,216.220707592629
"454",132868189,201809,78.4542550681501
"455",132875743,201812,8.60407558726467
"456",132902798,201806,187.409275721866
"457",132922191,201812,74.9325351997857
"458",132926433,201806,104.801729267941
"459",132934000,201812,65.0381331639215
"460",132936066,201809,NA
"461",132938457,201806,639.594
"462",132944013,201804,399.921677965157
"463",132950346,201812,721.542931258106
"464",132972415,201806,37.4948965809924
"465",132976987,201812,211.890546745351
"466",133008492,201906,NA
"467",133010578,201812,3409.72477804681
"468",133020589,201806,629.326829268293
"469",133022372,201812,99.7534581725793
"470",133023179,201812,502.720336983993
"471",133023183,201806,34.0809043935025
"472",133026182,201812,2111.6592541909
"473",133028376,201812,21.0917543430389
"474",133032463,201812,724.455330396476
"475",133076810,201812,51.1596939979966
"476",133097905,201806,33.5234042553192
"477",133098397,201812,281.982881244585
"478",133108035,201812,445.295217492081
"479",133110811,201812,88.3544386655188
"480",133154100,201812,578.032282366072
"481",133160099,201806,62.2950298925666
"482",133176586,201806,72.8581554793391
"483",133176952,201806,177.027022154422
"484",133183344,201806,33.5253109894882
"485",133187792,201812,44.0127295492488
"486",133202014,201812,134.358248581801
"487",133203701,201806,29.9458140513252
"488",133206603,201812,NA
"489",133212867,201812,29.6776040872547
"490",133213525,201803,10.2742155267757
"491",133234441,201806,74.4844164524811
"492",133248777,201812,54.1970597012404
"493",133257307,201806,21.0230251102152
"494",133281487,201806,26.1002690644052
"495",133313856,201812,NA
"496",133402057,201706,1.44133294577641
"497",133402057,201506,1.44058658615484
"498",133402057,201306,1.48979482459453
"499",133402057,201206,3.55023918156985
"500",133402057,201606,1.44113791713158
"501",133420753,201806,23.7886133780151
"502",133421324,201812,4527.85714285714
"503",133439109,201807,2477.18074656189
"504",133439109,201907,1844.51465875371
"505",133463392,201806,NA
"506",133505123,201812,264.030538440932
"507",133514340,201812,NA
"508",133516262,201806,68.109047120602
"509",133518596,201812,1.79269901773933
"510",133544227,201906,144.095022801814
"511",133556135,201812,126.590020426029
"512",133570544,201812,164.983816507639
"513",133582492,201812,2161.77158774373
"514",133584089,201806,13.0335194632376
"515",133591350,201812,487.548809043197
"516",133620671,201812,13.5224322706229
"517",133627750,201812,25.3826005518688
"518",133635059,201806,46.9728190338861
"519",133636555,201806,83.4864329309766
"520",133652630,201806,46.0513845611147
"521",133687891,201806,33.8510807654765
"522",133687895,201806,NA
"523",133706959,201812,460.825227052695
"524",133735311,201812,0
"525",133773591,201812,3.43930931135481
"526",133778489,201806,212.300165977008
"527",133784406,201812,592.148079047502
"528",133846708,201812,98.3294920284187
"529",133860487,201812,60.8196979286044
"530",133914167,201812,NA
"531",133927797,201812,3.05904404873477
"532",133940622,201812,NA
"533",133946529,201812,92.4163179031917
"534",133970573,201812,NA
"535",133996271,201806,2.45373683672426
"536",133997769,201812,21.0474779695528
"537",134011201,201812,116.325903390041
"538",134031037,201812,395.04224824356
"539",134087428,201812,NA
"540",134103352,201812,459.359405271458
"541",134138205,201812,322.018018018018
"542",134169825,201806,1102.98701298701
"543",134196931,201812,20.7232970326807
"544",134221502,201809,NA
"545",134233543,201812,2103.42319749216
"546",134236650,201906,4.35059913724237
"547",134284680,201812,78.8650463400794
"548",135562202,201806,22.0759448574296
"549",136202692,201806,60.4310894455103
"550",136222626,201806,238.534749336249
"551",136265613,201812,55.157681745917
"552",136271908,201806,46.2889481732841
"553",141491879,201811,13.3825270179684
"554",141492922,201812,15.0935258457124
"555",141493667,201802,39.9742024955989
"556",141503655,201804,38.5569075011505
"557",141503655,201904,51.545282332906
"558",141504550,201906,91.385562150838
"559",141548263,201806,19.7396701542827
"560",141558673,201812,141.902440076805
"561",141589002,201812,77.1063829787234
"562",141601549,201812,214.467465696257
"563",141604145,201805,180.737301619681
"564",141605957,201812,437.31301597099
"565",141611857,201812,33.9716299322171
"566",141615406,201812,1478.64187162567
"567",141626314,201803,29.6653981038505
"568",141627038,201810,28.4330887039269
"569",141628657,201806,14.1193690030899
"570",141629449,201806,166.389859665007
"571",141633606,201901,121.173450808679
"572",141645491,201812,136.550399391404
"573",141645494,201812,6.65945445884278
"574",141664058,201901,9.45973109719725
"575",141664264,201806,23.4139507734215
"576",141666190,201906,5279.45864661654
"577",141705132,201812,13.3666079051887
"578",141708404,201906,10.8911971323211
"579",141715960,201812,206.580896196812
"580",141724406,201812,44.4430757059912
"581",141724900,201904,223.663871439007
"582",141758441,201906,263.031302116741
"583",141758686,201806,51.6392084675564
"584",141758686,201906,25.1624441132638
"585",141770461,201812,112.503529915139
"586",141815690,201806,32.9120094934172
"587",141819599,201806,23.8607057405214
"588",141828476,201812,74.0301295188996
"589",141855665,201812,225.656228253305
"590",141869951,201806,100.944849115505
"591",141884382,201812,3.04571759046086
"592",141891112,201812,NA
"593",141891112,201712,NA
"594",141959607,201812,315.674090780942
"595",141959607,201712,254.239835002946
"596",141973678,201812,1218.46413962367
"597",141977260,201812,235.907158563401
"598",141983932,201806,451.290215588723
"599",141987692,201809,1766.85365853659
"600",141990608,201812,47.1990202082058
"601",160743940,201903,50.8969099627065
"602",160863402,201803,11.460187614869
"603",160902835,201809,13.3712827696618
"604",160903802,201812,30.1196401994547
"605",160905222,201810,14.1126826556909
"606",160907793,201812,41.6211250500377
"607",160909190,201812,20.5563856351124
"608",160909583,201812,25.7769204939746
"609",160911473,201802,47.4775448926213
"610",160950820,201906,13.5617594647826
"611",160963924,201806,NA
"612",160984913,201809,15.372594474049
"613",160999976,201904,278.516167076167
"614",161002392,201809,167.442626359232
"615",161004653,201812,93.4523193742895
"616",161006727,201812,151.79746835443
"617",161063363,201812,525.186639469658
"618",161065303,201808,778.11377245509
"619",161067572,201712,29.2907894254583
"620",161067572,201812,37.5097981957881
