"","ein","tax_pd","equity_ratio"
"309",60876677,201808,0.307229983129635
"310",60890788,201812,0.109140811949603
"311",60903918,201812,0.570294141189739
"312",60906671,201812,0.306735148217601
"313",60939659,201806,0.284937598539394
"314",60954802,201806,0.36133290374051
"315",60979507,201809,-2.03726159616368
"316",60993174,201812,0.972159186503774
"317",61006312,201806,0.817457778109712
"318",61008590,201806,-0.454630532975543
"319",61011060,201812,0.510015981831613
"320",61021268,201812,0.306909580498639
"321",61022915,201812,0.752629979000406
"322",61045493,201906,0.525468114298724
"323",61063650,201812,-0.388781349562577
"324",61064281,201812,0.700315124844373
"325",61066148,201806,0.449112952931911
"326",61174074,201906,0.291247768689068
"327",61193489,201809,0.764580210792556
"328",61214680,201806,0.765871163096376
"329",61230844,201809,0.982723693917658
"330",61235451,201806,0.675485900705193
"331",61258114,201812,0.894757347892546
"332",61276156,201906,0.362181537967217
"333",61276156,201806,0.313696488905323
"334",61322214,201806,0.989850617385854
"335",61322214,201906,0.974059994227748
"336",61338915,201812,0.429237464973469
"337",61353568,201812,0.973316542906533
"338",61354643,201809,-7.70683851814685
"339",61356231,201806,0.889601073511253
"340",61414605,201806,0.994248809735772
"341",61419774,201806,0.0707138886683078
"342",61421651,201806,0.75158302963885
"343",61421674,201812,0.943924428921336
"344",61423446,201812,1
"345",61423598,201806,0.632285456711077
"346",61428945,201812,0.50677084077113
"347",61428945,201812,0.50677084077113
"348",61440531,201906,0.983110028266784
"349",61466506,201812,1
"350",61472525,201906,0.896968398756523
"351",61473638,201906,0.944523164120256
"352",61613212,201812,0.923532790132708
"353",61618332,201812,0.0296221996091163
"354",61637790,201809,0.693240266946203
"355",61665031,201812,0.360931497437849
"356",61683983,201812,0.897894570421396
"357",61714498,201809,0.834029768166012
"358",61781093,201812,0
"359",61804372,201812,NA
"360",66066491,201806,0.579828690410427
"361",66071847,201810,-0.372787703872063
"362",100131835,201806,0.83712766430169
"363",111630919,201812,0.465496038779393
"364",112137138,201806,0.623184264404233
"365",112141197,201812,0.7291747687315
"366",112221341,201812,0.84180865412896
"367",112268359,201812,0.832740567412967
"368",112325394,201906,0.1452147851315
"369",112356150,201806,0.988461875862289
"370",112375583,201806,0.60605628732906
"371",112382250,201806,0.98550925079079
"372",112412584,201712,0.484943724215277
"373",112431586,201806,0.935977063662506
"374",112435523,201905,0.823346124100184
"375",112436149,201806,0.879931422204902
"376",112451752,201806,0.651599683988706
"377",112453853,201806,0.375398696528439
"378",112458675,201806,-0.163399912539935
"379",112475743,201806,0.535369352786725
