"","ein","tax_pd","debt_mgmnt_ratio"
"565",141611857,201812,3.28571737672285
"566",141615406,201812,0.11608155631176
"567",141626314,201803,0.795526749548931
"568",141627038,201810,2.43982796229987
"569",141628657,201806,-17.3695948110186
"570",141629449,201806,2.45075642078105
"571",141633606,201901,0.122049840931536
"572",141645491,201812,0.0976877461537708
"573",141645494,201812,-43.9124787243572
"574",141664058,201901,-6.24149887608207
"575",141664264,201806,1.29993046069589
"576",141666190,201906,0.0325948893485243
"577",141705132,201812,-2.89442880541476
"578",141708404,201906,3.59108964754951
"579",141715960,201812,6.1622839376854
"580",141724406,201812,0.0607645576175262
"581",141724900,201904,0.291714198632821
"582",141758441,201906,0.303987691207992
"583",141758686,201806,0.760502004531985
"584",141758686,201906,0.74472807991121
"585",141770461,201812,1.6545043696391
"586",141815690,201806,0.617260372553904
"587",141819599,201806,-2.51804132452026
"588",141828476,201812,0.28702595801372
"589",141855665,201812,18.0161502650133
"590",141869951,201806,0.621427613744443
"591",141884382,201812,6.09209678186876
"592",141891112,201812,31.7316543598952
"593",141891112,201712,32.5234691124899
"594",141959607,201812,0.252276861471597
"595",141959607,201712,0.295783186364372
"596",141973678,201812,1.07460075976351
"597",141977260,201812,-8.57233540572229
"598",141983932,201806,NA
"599",141987692,201809,-0.215995626447131
"600",141990608,201812,-9.42716519647153
"601",160743940,201903,14.0508581943229
"602",160863402,201803,NA
"603",160902835,201809,-6.6060823448946
"604",160903802,201812,0.0710855380408773
"605",160905222,201810,1.67093815054837
"606",160907793,201812,0.921977159282325
"607",160909190,201812,3.04455869284324
"608",160909583,201812,0.454007560862923
"609",160911473,201802,2.68779688250911
"610",160950820,201906,-9.00038861546263
"611",160963924,201806,NA
"612",160984913,201809,0.900767560753656
"613",160999976,201904,0.0895927358090412
"614",161002392,201809,2.27020967459105
"615",161004653,201812,0.267212559086418
"616",161006727,201812,2.03137587076189
"617",161063363,201812,0.688605976474026
"618",161065303,201808,-2.59263887500417
"619",161067572,201712,1.31241328410822
"620",161067572,201812,2.06337216515474
"621",161072548,201812,-2.61956067595027
"622",161079046,201812,-40.0802192326856
"623",161080227,201812,0.787734507106533
"624",161086304,201812,0.994537327788622
"625",161092291,201808,0.369075267157903
"626",161094813,201809,0.352613750801062
"627",161109094,201906,0.487161893032473
"628",161116852,201906,0.200624435556702
"629",161119263,201812,0.124478007389769
"630",161125586,201811,0.205373637813122
"631",161130177,201806,-1.35014767282712
"632",161132971,201808,0.148165084772979
"633",161137874,201906,0.212184115944917
"634",161139614,201812,5.91884072065939
"635",161159574,201906,0.969647039540371
"636",161159720,201812,2.70690875082323
"637",161160170,201809,-4.32568576825105
"638",161160170,201909,46.7003919647232
"639",161163460,201812,0.0143058041732144
"640",161164184,201806,0.868201836741661
"641",161165911,201812,0.0293982496263158
"642",161166659,201808,0.455234842814371
"643",161167946,201812,0.140863393413677
"644",161169252,201808,-2.65193945707458
"645",161170113,201806,0.902497911816892
"646",161170113,201906,0.939427848815259
"647",161183242,201809,0.750908593215654
"648",161190886,201806,1.84986086283471
"649",161199332,201906,-1.53090056580484
"650",161199332,201806,-1.59152875496957
"651",161265765,201809,0.298429916354825
"652",161271229,201812,0.270509155036595
"653",161277244,201812,-8.23536876131195
"654",161289461,201809,1.63251023142721
"655",161301678,201903,-2.36098080967609
"656",161321037,201803,1.4755805879176
"657",161328750,201809,0.365624886947771
"658",161329890,201906,0
"659",161330593,201812,0.7739556287503
"660",161337423,201806,0.202404397159294
"661",161337423,201906,0.198092753146994
"662",161370403,201906,0.00808820443959548
"663",161375112,201906,0.11194224092028
