"","ein","tax_pd","donation_ratio"
"578",141708404,201906,0.438187252896987
"579",141715960,201812,0.423539986230695
"580",141724406,201812,0.549059300257672
"581",141724900,201904,0.742691919995756
"582",141758441,201906,0.722850426426042
"583",141758686,201806,0.999802056631598
"584",141758686,201906,1
"585",141770461,201812,0.0822162259335763
"586",141815690,201806,0.610338452591025
"587",141819599,201806,0
"588",141828476,201812,0.319395692082028
"589",141855665,201812,0
"590",141869951,201806,0.0848614925698903
"591",141884382,201812,0.0600478807008227
"592",141891112,201812,1
"593",141891112,201712,1
"594",141959607,201812,1.13312615121385
"595",141959607,201712,0.999142415138335
"596",141973678,201812,0.959186662015083
"597",141977260,201812,0.186017727704081
"598",141983932,201806,0.743798735680133
"599",141987692,201809,0.522618995585471
"600",141990608,201812,0
"601",160743940,201903,0.0961145991758635
"602",160863402,201803,0
"603",160902835,201809,0.948963462530027
"604",160903802,201812,0.852990419690818
"605",160905222,201810,0.800681789569141
"606",160907793,201812,0.837481981121539
"607",160909190,201812,1.0100037184761
"608",160909583,201812,0.202990921746884
"609",160911473,201802,0.85728886940625
"610",160950820,201906,0.0630706751537038
"611",160963924,201806,NA
"612",160984913,201809,0.0323268095616894
"613",160999976,201904,0.934198595940854
"614",161002392,201809,0.35533944362955
"615",161004653,201812,0.623561097254452
"616",161006727,201812,0.0111626574655773
"617",161063363,201812,0.427750159804245
"618",161065303,201808,0.729702825354999
"619",161067572,201712,0.832266858089693
"620",161067572,201812,0.929187491427165
"621",161072548,201812,0.814552362681323
"622",161079046,201812,0.151377874849472
"623",161080227,201812,0.062624284842864
"624",161086304,201812,0.352236984890299
"625",161092291,201808,0.890449097659009
"626",161094813,201809,0.560809703671648
"627",161109094,201906,0.32619243665243
"628",161116852,201906,0.169696334272515
"629",161119263,201812,0.528020803804538
"630",161125586,201811,0.874243063236546
"631",161130177,201806,0.513003093919717
"632",161132971,201808,0.956140260466897
"633",161137874,201906,0.955399287935173
"634",161139614,201812,0.0885293993943472
"635",161159574,201906,0.757565810645556
"636",161159720,201812,0
"637",161160170,201809,0.888272460114897
"638",161160170,201909,0.909731580269872
"639",161163460,201812,0.488368591117757
"640",161164184,201806,1.00675040207465
"641",161165911,201812,0
"642",161166659,201808,0.769014870889036
"643",161167946,201812,0.626699027749013
"644",161169252,201808,0.971156939954341
"645",161170113,201806,0.470782337195698
"646",161170113,201906,0.509187118603459
"647",161183242,201809,0.0207061318823684
"648",161190886,201806,0.406417963626991
"649",161199332,201906,0
"650",161199332,201806,0
"651",161265765,201809,0.105419043855585
"652",161271229,201812,0.8754974103779
"653",161277244,201812,1.16860928418883
"654",161289461,201809,1.00194268644077
"655",161301678,201903,0.416834155438257
"656",161321037,201803,0.251337815587267
"657",161328750,201809,0.995328930304243
"658",161329890,201906,0.865161938050794
"659",161330593,201812,0.878267092504186
"660",161337423,201806,0.998481067660411
"661",161337423,201906,0.996769286144411
"662",161370403,201906,0
"663",161375112,201906,0.288882881120973
"664",161375112,201806,0.272930790512999
"665",161375637,201812,0.187099363869861
"666",161387187,201906,0.816415880703143
"667",161399793,201812,0.0200275636343609
"668",161408996,201812,0
"669",161429861,201812,0.478574961499995
"670",161450203,201812,0
"671",161452557,201903,0.525962538677126
"672",161453947,201812,0
"673",161481094,201805,0
"674",161481094,201905,0
"675",161481094,201705,0
"676",161509425,201812,0.00934467890274927
