"","ein","tax_pd","st_debt_ratio"
"336",61338915,201812,0.161564531362853
"337",61353568,201812,0.013287823988681
"338",61354643,201809,NA
"339",61356231,201806,0.0786329038090195
"340",61414605,201806,0.00291316010659105
"341",61419774,201806,0.933963441262711
"342",61421651,201806,0.0118393679804411
"343",61421674,201812,0.0215009580224674
"344",61423446,201812,0
"345",61423598,201806,0.00368140276329984
"346",61428945,201812,0.000179861996795186
"347",61428945,201812,0.000179861996795186
"348",61440531,201906,0.0171801438776828
"349",61466506,201812,0
"350",61472525,201906,0.0823410184950595
"351",61473638,201906,0.0507496960843519
"352",61613212,201812,0.00448681623607597
"353",61618332,201812,0.259190595112163
"354",61637790,201809,0.0200307913085278
"355",61665031,201812,0.0380021276307068
"356",61683983,201812,0.00774717577362152
"357",61714498,201809,0.0383216211421122
"358",61781093,201812,NA
"359",61804372,201812,NA
"360",66066491,201806,0.10768065919174
"361",66071847,201810,-1.739626421108
"362",100131835,201806,0.0227564272696711
"363",111630919,201812,0.0337975096475348
"364",112137138,201806,0.0182764699851296
"365",112141197,201812,0.178679784842263
"366",112221341,201812,0.0698797318656472
"367",112268359,201812,0.0920716427200206
"368",112325394,201906,0.162356892369666
"369",112356150,201806,0.0116728064273047
"370",112375583,201806,0.517480017483495
"371",112382250,201806,0.0147038185563277
"372",112412584,201712,0.786778188305646
"373",112431586,201806,0.00275973519449351
"374",112435523,201905,0.0779013159677376
"375",112436149,201806,0.0711883321518561
"376",112451752,201806,0.143845030982864
"377",112453853,201806,0.492525517399472
"378",112458675,201806,0
"379",112475743,201806,0.254868558051616
"380",112490986,201806,0.228782489740082
"381",112498292,201806,NA
"382",112526244,201807,0.0404793194365476
"383",112527097,201906,2.92999294283698
"384",112527202,201905,1.74089890995968
"385",112528786,201812,0.00838921482542044
"386",112534700,201803,0.243777774969909
"387",112538550,201808,0.160376830499463
"388",112573432,201806,0.0135482753193645
"389",112578155,201807,0.203424365323658
"390",112594653,201806,0.113393561266346
"391",112600290,201812,0.0607920337419225
"392",112600290,201712,0.0483679719955913
"393",112603787,201812,0.902664321434522
"394",112627786,201812,0.322567234245703
"395",112647339,201812,0.00944910783908995
"396",112665181,201806,1.66967569509362
"397",112683663,201806,0.443601386762145
"398",112689903,201812,0.00439948299860807
"399",112710506,201812,0.0270991818944229
"400",112737223,201812,0.0714186922424664
"401",112783877,201812,0.170210802538804
"402",112840553,201806,0.0314696274756862
"403",112848726,201809,0.0595375028955461
"404",112848938,201806,0
"405",112857055,201806,0.289124073340215
"406",112889068,201812,0.102606984934643
"407",112890302,201812,0.168608082319611
"408",112911043,201812,0.0303665789154975
"409",113039699,201805,0
"410",113048002,201812,0.0253182671704888
"411",113099604,201812,0.114112642730226
"412",113132562,201812,0.00709119197875564
"413",113199716,201812,0
"414",113204890,201812,0.03409443296805
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,0.0124640919798792
"418",113306111,201806,0.0602390863088442
"419",113312539,201812,0.0263778520229756
"420",113317234,201812,0.0777616853754734
"421",113317929,201806,0.255642194278184
"422",113415840,201812,-0.365101240326513
"423",113422018,201812,0.232318004204772
"424",113442366,201812,-0.99937924944555
"425",113458791,201806,NA
"426",113462888,201906,-42.9228155060192
"427",113580935,201812,0.0514450772620621
"428",113603198,201812,0
"429",113613094,201812,0.0205040262451536
"430",113633048,201812,0.00765363243228622
"431",113666873,201812,-0.0685189574620925
"432",113687996,201809,-0.277522942845437
"433",113704014,201906,-0.00590665047037604
"434",113754129,201812,0.107418830884542
"435",116083182,201806,0.171006234693039
"436",123799161,201906,-2.75880927656629
"437",123799161,201706,-4.32757776810964
"438",131562242,201806,0.0775721807466985
"439",131624178,201806,0.622991818050247
"440",131671035,201806,-2.13039580718732
"441",131919799,201806,0.288530250483625
"442",131943516,201806,-0.535901119665194
"443",132564241,201812,0.145574973343213
"444",132579051,201807,0.559881726449353
"445",132617705,201812,0.0135568353771597
"446",132735378,201812,0.00241260075666787
"447",132736022,201803,0.4450466229842
"448",132778910,201812,0.0170867661640145
"449",132802083,201906,0.0237174536479458
"450",132806160,201806,0.369575923051509
"451",132834016,201812,0.301169903749108
"452",132850133,201806,-0.114462786641339
"453",132851988,201812,0.0152892737861244
"454",132868189,201809,0.0261415116472986
"455",132875743,201812,-1.06387528864254
"456",132902798,201806,0.0199264212026069
"457",132922191,201812,0.100352009798307
"458",132926433,201806,0.049862908176683
"459",132934000,201812,0.0909111398792209
"460",132936066,201809,NA
"461",132938457,201806,0.00189602825688832
"462",132944013,201804,0.0150344521813926
"463",132950346,201812,0.14847862370009
"464",132972415,201806,0.84698207543061
"465",132976987,201812,0.0230857059216037
"466",133008492,201906,NA
"467",133010578,201812,0.00220820746813152
"468",133020589,201806,0.0132462322262262
"469",133022372,201812,0.0770748264782889
"470",133023179,201812,0.0189198100771977
"471",133023183,201806,-0.332994277240147
"472",133026182,201812,0.000648994824027596
"473",133028376,201812,0.18323208568791
"474",133032463,201812,0.00819839094839853
"475",133076810,201812,0.122523676124609
