"","ein","tax_pd","pred_profitmargin"
"535",133996271,201806,-1.90896130346232
"536",133997769,201812,0.0210557275966937
"537",134011201,201812,0.0259409378066169
"538",134031037,201812,0.0702710036632982
"539",134087428,201812,0.64292497625831
"540",134103352,201812,0.09599284575869
"541",134138205,201812,-0.00701498869250632
"542",134169825,201806,0.53126495215311
"543",134196931,201812,-0.0383473898941901
"544",134221502,201809,NA
"545",134233543,201812,1.75031312966291
"546",134236650,201906,0.0551653079552495
"547",134284680,201812,0.169905767521321
"548",135562202,201806,-0.255763965563266
"549",136202692,201806,0.0722919030904436
"550",136222626,201806,-0.437624166509881
"551",136265613,201812,0.0726951234283993
"552",136271908,201806,-0.329878799273532
"553",141491879,201811,0.0494102655557893
"554",141492922,201812,0.059289262406183
"555",141493667,201802,0.0918457353979006
"556",141503655,201804,0.108336430160413
"557",141503655,201904,0.177645926351231
"558",141504550,201906,-0.0438022930184346
"559",141548263,201806,-0.0925865253522344
"560",141558673,201812,NA
"561",141589002,201812,-5.56028368794326
"562",141601549,201812,0.0690185212792906
"563",141604145,201805,0.050001042035721
"564",141605957,201812,-0.744347630222279
"565",141611857,201812,0.0547187679430519
"566",141615406,201812,-0.0377846317235726
"567",141626314,201803,-0.000872695881529804
"568",141627038,201810,0.00586757778535567
"569",141628657,201806,-0.0261191810319188
"570",141629449,201806,0.032435927761894
"571",141633606,201901,0.0778764340101236
"572",141645491,201812,0.104388141696567
"573",141645494,201812,0.14676417716536
"574",141664058,201901,-0.461993466090352
"575",141664264,201806,0.212615303143018
"576",141666190,201906,0.0769269614691871
"577",141705132,201812,0.123476437070986
"578",141708404,201906,-0.0789657580000072
"579",141715960,201812,-0.0026051184415187
"580",141724406,201812,-0.0362356804198787
"581",141724900,201904,-0.0518735585910315
"582",141758441,201906,0.0640729010521567
"583",141758686,201806,0.0001979433684023
"584",141758686,201906,-0.0469855021216407
"585",141770461,201812,0.320248225200392
"586",141815690,201806,-0.121856866537718
"587",141819599,201806,0.115730687705496
"588",141828476,201812,0.201707360501684
"589",141855665,201812,0.214281528959468
"590",141869951,201806,0.0809763727968861
"591",141884382,201812,0.409264358856859
"592",141891112,201812,0
"593",141891112,201712,0
"594",141959607,201812,-0.737641091896327
"595",141959607,201712,-0.174577373211964
"596",141973678,201812,0.467464757794633
"597",141977260,201812,0.139895410584126
"598",141983932,201806,0.132545005294741
"599",141987692,201809,0.231675335460466
"600",141990608,201812,-0.0626596505568611
"601",160743940,201903,0.00605818351986897
"602",160863402,201803,0.304818884350611
"603",160902835,201809,0.00819083432708711
"604",160903802,201812,0.082109210662003
"605",160905222,201810,0.0273851345866188
"606",160907793,201812,0.0896965243353587
"607",160909190,201812,0.00115098285175494
"608",160909583,201812,0.0123733037299151
"609",160911473,201802,-0.00233189510473448
"610",160950820,201906,0.190699066349736
"611",160963924,201806,NA
"612",160984913,201809,0.0456218479973112
"613",160999976,201904,0.061055531113109
"614",161002392,201809,0.21454261804431
"615",161004653,201812,0.0703661574173771
"616",161006727,201812,-0.128935125809707
"617",161063363,201812,0.223962086697365
"618",161065303,201808,-1.89175816132338
"619",161067572,201712,0.134051655092484
"620",161067572,201812,-0.153977844065361
"621",161072548,201812,0.0155457280034106
"622",161079046,201812,0.143784272269171
"623",161080227,201812,0.0523300758030423
"624",161086304,201812,0.127343160422829
"625",161092291,201808,0.644243151796925
"626",161094813,201809,-0.0686138992407978
"627",161109094,201906,0.110549876330391
"628",161116852,201906,0.0449413597737471
"629",161119263,201812,-0.104927700566047
"630",161125586,201811,0.181725829082817
"631",161130177,201806,0.0207312539005962
"632",161132971,201808,-0.0200201718286425
"633",161137874,201906,0.0208897960094132
"634",161139614,201812,0.234196248317631
"635",161159574,201906,0.0618802428611272
"636",161159720,201812,0.117048349207018
"637",161160170,201809,0.0309419741689262
"638",161160170,201909,0.0690828011836465
"639",161163460,201812,0.424751905802633
"640",161164184,201806,-0.00772428530883229
"641",161165911,201812,0.143936590548267
"642",161166659,201808,0.0098984863715857
"643",161167946,201812,-0.0394546089009053
"644",161169252,201808,-0.0136243771312029
