"","ein","tax_pd","quick_ratio"
"576",141666190,201906,439.954887218045
"577",141705132,201812,1.11388399209906
"578",141708404,201906,0.907599761026761
"579",141715960,201812,17.2150746830677
"580",141724406,201812,3.70358964216593
"581",141724900,201904,18.6386559532505
"582",141758441,201906,21.9192751763951
"583",141758686,201806,4.30326737229636
"584",141758686,201906,2.09687034277198
"585",141770461,201812,9.37529415959495
"586",141815690,201806,2.74266745778476
"587",141819599,201806,1.98839214504345
"588",141828476,201812,6.1691774599083
"589",141855665,201812,18.8046856877755
"590",141869951,201806,8.41207075962539
"591",141884382,201812,0.253809799205072
"592",141891112,201812,NA
"593",141891112,201712,NA
"594",141959607,201812,26.3061742317451
"595",141959607,201712,21.1866529169122
"596",141973678,201812,101.538678301973
"597",141977260,201812,19.6589298802834
"598",141983932,201806,37.6075179657269
"599",141987692,201809,147.237804878049
"600",141990608,201812,3.93325168401715
"601",160743940,201903,4.24140916355887
"602",160863402,201803,0.955015634572413
"603",160902835,201809,1.11427356413848
"604",160903802,201812,2.50997001662122
"605",160905222,201810,1.17605688797424
"606",160907793,201812,3.46842708750314
"607",160909190,201812,1.71303213625936
"608",160909583,201812,2.14807670783121
"609",160911473,201802,3.95646207438511
"610",160950820,201906,1.13014662206521
"611",160963924,201806,NA
"612",160984913,201809,1.28104953950409
"613",160999976,201904,23.2096805896806
"614",161002392,201809,13.9535521966027
"615",161004653,201812,7.78769328119079
"616",161006727,201812,12.6497890295359
"617",161063363,201812,43.7655532891382
"618",161065303,201808,64.8428143712575
"619",161067572,201712,2.44089911878819
"620",161067572,201812,3.12581651631567
"621",161072548,201812,8.66904379969312
"622",161079046,201812,21.7558694142163
"623",161080227,201812,1.60247371576233
"624",161086304,201812,21.8733777621887
"625",161092291,201808,3.34864616103197
"626",161094813,201809,3.14866548966663
"627",161109094,201906,12.9051835638245
"628",161116852,201906,12.2988352109987
"629",161119263,201812,8.67078153143259
"630",161125586,201811,NA
"631",161130177,201806,7.67623122745197
"632",161132971,201808,14.7575650763998
"633",161137874,201906,46.5576223302068
"634",161139614,201812,6.86758270610887
"635",161159574,201906,21.4753672316384
"636",161159720,201812,8.53471340689386
"637",161160170,201809,NA
"638",161160170,201909,NA
"639",161163460,201812,68.8673174872665
"640",161164184,201806,28.5242820945946
"641",161165911,201812,9.60905497664391
"642",161166659,201808,20.6217939957177
"643",161167946,201812,23.1486550777676
"644",161169252,201808,7.40898473204916
"645",161170113,201806,8.84731438150451
"646",161170113,201906,9.27799453053783
"647",161183242,201809,18.6763548087621
"648",161190886,201806,2.83169798769333
"649",161199332,201906,0.487769353551476
"650",161199332,201806,0.247351005688367
"651",161265765,201809,15.2742204576413
