"","ein","tax_pd","currentratio"
"744",201848987,201812,29.6758849557522
"745",201880465,201906,NA
"746",201891448,201812,8.03011519970973
"747",201935580,201806,3.4988118332362
"748",201952464,201906,4.17915180340864
"749",201989307,201906,7.12922073928286
"750",202007127,201812,0.408719567764614
"751",202010603,201812,24.4119139681005
"752",202053859,201812,21.5578231292517
"753",202074645,201809,0.733065057008719
"754",202188815,201903,105.097099311701
"755",202207776,201812,0.565095223228224
"756",202231228,201806,8.96725302017286
"757",202232456,201812,5.08111964127998
"758",202328346,201806,NA
"759",202445113,201412,4.07679380770307
"760",202445113,201812,0.989573459103577
"761",202504202,201812,1.54064147627417
"762",202526058,201806,2.31665251948453
"763",202711297,201812,NA
"764",202773085,201812,10.8935779332364
"765",202810099,201811,13.9343583498249
"766",202869184,201809,1.67045572331825
"767",203022563,201812,10.2126831501831
"768",203035695,201812,19.291858870465
"769",203048639,201809,5.01373932417378
"770",203079151,201806,1.1632483275005
"771",203167493,201812,4.24630772106936
"772",203178404,201806,NA
"773",203195763,201806,24.6073243397047
"774",203395474,201812,35.1744739922154
"775",203407734,201806,73.3994244604317
"776",203415545,201806,80.6186561829878
"777",203494053,201806,NA
"778",203494053,201706,NA
"779",203496884,201812,0.70868530358893
"780",203521473,201806,5.05591568379885
"781",203558447,201812,2.07822582405191
"782",203771819,201812,6.89195728788596
"783",203773809,201906,1.85044416243655
"784",203852230,201812,2299.83695652174
"785",203853610,201812,1840.548
"786",203866727,201806,NA
"787",203916750,201812,5.70914715416386
"788",204122028,201806,NA
"789",204130979,201812,8.50984217059762
"790",204181020,201806,10.4143109540636
"791",204203798,201812,6.4934530095037
"792",204216595,201812,7.83448565516962
"793",204361698,201812,1.22979274252281
"794",204398263,201806,57.8820357103483
"795",204398692,201809,1.07585408222351
"796",204526894,201812,1.04253816042434
"797",204594987,201812,0.0573973994056501
"798",204627275,201812,47.277287492724
"799",204741922,201812,9.12243198223209
"800",204929600,201806,77.9483144682512
"801",205276894,201812,18.2285217391304
