"","ein","tax_pd","postd_profitmargin"
"628",161116852,201906,-0.0458823107845727
"629",161119263,201812,-0.155029247260051
"630",161125586,201811,0.123093898618881
"631",161130177,201806,-0.0454394561075038
"632",161132971,201808,-0.0274808036338739
"633",161137874,201906,0.00647314762147298
"634",161139614,201812,-0.0310502187079408
"635",161159574,201906,0.0422260839715947
"636",161159720,201812,-0.0293230764277338
"637",161160170,201809,0.0263943210534491
"638",161160170,201909,0.0651896177534254
"639",161163460,201812,0.424751905802633
"640",161164184,201806,-0.00772428530883229
"641",161165911,201812,0.0321105845558832
"642",161166659,201808,-0.0734243104421708
"643",161167946,201812,-0.0561065702832209
"644",161169252,201808,-0.0180778783901342
"645",161170113,201806,-0.134979335924342
"646",161170113,201906,-0.123240480882875
"647",161183242,201809,0.0400655741741294
"648",161190886,201806,-0.196742500625422
"649",161199332,201906,-0.28781551213886
"650",161199332,201806,-0.142648033583738
"651",161265765,201809,-1.20805300494775
"652",161271229,201812,0.00123525415354209
"653",161277244,201812,-0.195979472358872
"654",161289461,201809,-0.00256034183856234
"655",161301678,201903,-0.195048034106354
"656",161321037,201803,-0.811865395170143
"657",161328750,201809,0.0495158805393855
"658",161329890,201906,-0.0288327817647715
"659",161330593,201812,0.0990877514988893
"660",161337423,201806,0.00199285530812835
"661",161337423,201906,-0.00151771776192919
"662",161370403,201906,0.600901972173665
"663",161375112,201906,-0.265655827758572
"664",161375112,201806,-0.131613128049167
"665",161375637,201812,0.176739949119364
"666",161387187,201906,-0.0642809807819748
"667",161399793,201812,0.37516309357867
"668",161408996,201812,-1.4139412898537
"669",161429861,201812,0.065625541223481
"670",161450203,201812,-0.815223160326657
"671",161452557,201903,-0.9593915019645
"672",161453947,201812,-0.753464203233256
"673",161481094,201805,-0.0743600033122496
"674",161481094,201905,0.645489301960727
"675",161481094,201705,-0.14570957527543
"676",161509425,201812,0.0636310915438676
"677",161559032,201806,0.0834190246092842
"678",161561999,201812,0.422108743148098
"679",161568466,201812,0.271480218985642
"680",161572206,201812,-0.0339924948647678
"681",161585356,201812,0.29201884061252
"682",161605654,201812,-0.260905516151556
"683",161607165,201903,0.00326433352632718
"684",161617489,201812,-0.195275369696088
"685",161637410,201812,-8.91791044776119
"686",161660243,201903,-0.355078312016962
"687",161671788,201906,-0.0553836708236133
"688",161744136,201809,0.0284414206682506
"689",161765276,201812,0.338548257218452
"690",166063879,201902,0.0234222098007913
"691",166063879,201802,0.0449041630237407
"692",166066346,201903,0.0106736124284758
"693",166066837,201812,0.0005832337797413
"694",166095039,201901,-0.00290872295665958
"695",166101149,201906,0.0800889342731352
"696",200001916,201812,-1.74661046861699
"697",200062075,201806,0.0746437658541646
"698",200070040,201812,-0.260263102944247
"699",200125143,201812,-0.183253597627052
"700",200146547,201806,0.30759860574146
"701",200164382,201812,-0.104159731798944
"702",200177581,201806,0.9445153710231
"703",200203845,201812,0.0242741455170242
"704",200246423,201812,-0.255148393323612
"705",200310400,201806,0.240823345973226
"706",200318338,201812,-0.442641375880012
"707",200330858,201812,0.365388198722379
"708",200428240,201812,-0.293571093383388
"709",200436490,201809,-0.0670539189742333
"710",200446324,201812,-0.0293949946401299
"711",200458814,201812,-0.182060241952234
"712",200468802,201812,0.340755164239756
"713",200470082,201812,-15.0239468496751
"714",200503404,201812,-1.14491175773451
"715",200530683,201812,0.0465361722840126
"716",200553370,201812,0.177509375556012
"717",200573561,201812,-0.571789524471573
"718",200688727,201812,0.344325996395536
"719",200696964,201806,-0.519937996590215
"720",200701353,201806,0.335057596569643
"721",200726638,201806,0.281471962673365
"722",200951085,201809,-1.23169750603379
"723",200956663,201812,-0.18306893661425
"724",201044089,201806,0.0171601176991381
"725",201110283,201806,-0.415601394538059
"726",201150352,201712,-6.35368127794379
"727",201150352,201812,-2.27904714117877
"728",201249814,201812,-0.243464823307526
"729",201309418,201809,-0.148189176808571
